Recipe	Input (Items/min)	Machine	Output (Items/min)
AI Limiter	25xCopper Sheet, 100xQuickwire	Assembler	5xAI Limiter
Alclad Aluminum Sheet	30xAluminum Ingot, 10xCopper Ingot	Assembler	30xAlclad Aluminum Sheet
Alternate: Adhered Iron Plate	11.25xIron Plate, 3.75xRubber	Assembler	3.75xReinforced Iron Plate
Alternate: Alclad Casing	150xAluminum Ingot, 75xCopper Ingot	Assembler	112.5xAluminum Casing
Alternate: Bolted Frame	7.5xReinforced Iron Plate, 140xScrew	Assembler	5xModular Frame
Alternate: Bolted Iron Plate	90xIron Plate, 250xScrew	Assembler	15xReinforced Iron Plate
Alternate: Caterium Circuit Board	12.5xPlastic, 37.5xQuickwire	Assembler	8.75xCircuit Board
Alternate: Cheap Silica	22.5xRaw Quartz, 37.5xLimestone	Assembler	52.5xSilica
Alternate: Coated Iron Canister	30xIron Plate, 15xCopper Sheet	Assembler	60xEmpty Canister
Alternate: Coated Iron Plate	37.5xIron Ingot, 7.5xPlastic	Assembler	75xIron Plate
Alternate: Compacted Coal	25xCoal, 25xSulfur	Assembler	25xCompacted Coal
Alternate: Copper Rotor	22.5xCopper Sheet, 195xScrew	Assembler	11.25xRotor
Alternate: Crystal Computer	5xCircuit Board, 1.667xCrystal Oscillator	Assembler	3.333xComputer
Alternate: Electric Motor	3.75xElectromagnetic Control Rod, 7.5xRotor	Assembler	7.5xMotor
Alternate: Electrode Circuit Board	20xRubber, 40xPetroleum Coke	Assembler	5xCircuit Board
Alternate: Electromagnetic Connection Rod	8xStator, 4xHigh-Speed Connector	Assembler	8xElectromagnetic Control Rod
Alternate: Encased Industrial Pipe	24xSteel Pipe, 20xConcrete	Assembler	4xEncased Industrial Beam
Alternate: Fine Black Powder	7.5xSulfur, 15xCompacted Coal	Assembler	45xBlack Powder
Alternate: Fine Concrete	15xSilica, 60xLimestone	Assembler	50xConcrete
Alternate: Fused Quickwire	7.5xCaterium Ingot, 37.5xCopper Ingot	Assembler	90xQuickwire
Alternate: Fused Wire	12xCopper Ingot, 3xCaterium Ingot	Assembler	90xWire
Alternate: Heat Exchanger	30xAluminum Casing, 30xRubber	Assembler	10xHeat Sink
Alternate: Insulated Cable	45xWire, 30xRubber	Assembler	100xCable
Alternate: OC Supercomputer	6xRadio Control Unit, 6xCooling System	Assembler	3xSupercomputer
Alternate: Plastic AI Limiter	120xQuickwire, 28xPlastic	Assembler	8xAI Limiter
Alternate: Plutonium Fuel Unit	10xEncased Plutonium Cell, 0.5xPressure Conversion Cube	Assembler	0.5xPlutonium Fuel Rod
Alternate: Quickwire Cable	7.5xQuickwire, 5xRubber	Assembler	27.5xCable
Alternate: Quickwire Stator	16xSteel Pipe, 60xQuickwire	Assembler	8xStator
Alternate: Rubber Concrete	100xLimestone, 20xRubber	Assembler	90xConcrete
Alternate: Silicon Circuit Board	27.5xCopper Sheet, 27.5xSilica	Assembler	12.5xCircuit Board
Alternate: Steel Rotor	10xSteel Pipe, 30xWire	Assembler	5xRotor
Alternate: Steeled Frame	2xReinforced Iron Plate, 10xSteel Pipe	Assembler	3xModular Frame
Alternate: Stitched Iron Plate	18.75xIron Plate, 37.5xWire	Assembler	5.625xReinforced Iron Plate
Assembly Director System	1.5xAdaptive Control Unit, 0.75xSupercomputer	Assembler	0.75xAssembly Director System
Automated Wiring	2.5xStator, 50xCable	Assembler	2.5xAutomated Wiring
Black Powder	15xCoal, 15xSulfur	Assembler	30xBlack Powder
Circuit Board	15xCopper Sheet, 30xPlastic	Assembler	7.5xCircuit Board
Cluster Nobelisk	7.5xNobelisk, 10xSmokeless Powder	Assembler	2.5xCluster Nobelisk
Electromagnetic Control Rod	6xStator, 4xAI Limiter	Assembler	4xElectromagnetic Control Rod
Encased Industrial Beam	18xSteel Beam, 36xConcrete	Assembler	6xEncased Industrial Beam
Encased Plutonium Cell	10xPlutonium Pellet, 20xConcrete	Assembler	5xEncased Plutonium Cell
Fabric	15xMycelia, 75xBiomass	Assembler	15xFabric
Gas Nobelisk	5xNobelisk, 50xBiomass	Assembler	5xGas Nobelisk
Heat Sink	37.5xAlclad Aluminum Sheet, 22.5xCopper Sheet	Assembler	7.5xHeat Sink
Homing Rifle Ammo	50xRifle Ammo, 2.5xHigh-Speed Connector	Assembler	25xHoming Rifle Ammo
Magnetic Field Generator	2.5xVersatile Framework, 1xElectromagnetic Control Rod	Assembler	1xMagnetic Field Generator
Modular Frame	3xReinforced Iron Plate, 12xIron Rod	Assembler	2xModular Frame
Motor	10xRotor, 10xStator	Assembler	5xMotor
Nobelisk	20xBlack Powder, 20xSteel Pipe	Assembler	10xNobelisk
Pressure Conversion Cube	1xFused Modular Frame, 2xRadio Control Unit	Assembler	1xPressure Conversion Cube
